Timestamp (ms),Gap Error (m)
1726249098078,1.2262182611149246
1726249098091,1.2537869161703559
1726249098110,1.2266279678615364
1726249098126,1.2803391523333318
1726249098143,1.2502741957870942
1726249098159,1.2776767866547707
1726249098181,1.2233895753907706
1726249098208,1.2775715052391141
1726249098224,1.2365774978722097
1726249098240,1.2639623531417716
1726249098260,1.2205684850563308
1726249098274,1.2479439448711451
1726249098294,1.2208802370942906
1726249098310,1.2745231941231037
1726249098337,1.2195549275093822
1726249098355,1.2468226084841332
1726249098373,1.2199121822881143
1726249098389,1.2744699841298108
1726249098407,1.2477193188902875
1726249098425,1.276746981631844
1726249098445,1.2211511277490854
1726249098469,1.2758473465705382
1726249098485,1.2492673540809602
1726249098501,1.2766648212287137
1726249098520,1.2216810373429534
1726249098535,1.2482569713286975
1726249098559,1.2217271318804301
1726249098576,1.2765973495435001
1726249098602,1.2238266147551884
1726249098617,1.2608860701815932
1726249098637,1.2323554665791816
1726249098653,1.276237269515247
1726249098671,1.2499836804688313
1726249098687,1.2774190144389723
1726249098707,1.2249244304357707
1726249098733,1.2820940018081224
1726249098751,1.2527353540884798
1726249098768,1.2803723233041122
1726249098786,1.227667923996277
1726249098800,1.2554721270153832
1726249098819,1.2259437909567747
1726249098836,1.2805149952583048
1726249098863,1.2274921876482514
1726249098876,1.2554695142931829
1726249098896,1.2288331311099032
1726249098913,1.2827652408545394
1726249098934,1.2512099930560439
1726249098954,1.2790413666089133
1726249098972,1.2250629207969341
1726249098997,1.2809226853138842
1726249099014,1.2538478359524179
1726249099033,1.2801820224015072
1726249099052,1.2223687878784277
1726249099066,1.2503274439327439
1726249099089,1.2227607607823652
1726249099107,1.2786698132398286
1726249099137,1.2202961548354185
1726249099151,1.2325824598240196
1726249099171,1.2046015965938137
1726249099187,1.2598648080256716
1726249099205,1.2318836938573048
1726249099227,1.2724525430330855
1726249099246,1.2133147197243894
1726249099275,1.2690557906833502
1726249099295,1.2407881666798102
1726249099312,1.2686443436080972
1726249099330,1.2078247119185028
1726249099345,1.235645870835024
1726249099363,1.2069502947841722
1726249099382,1.2625587303654227
